epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2652,1.4306,1.44784,1.14792,0.97466,0.97713,0.99083,0.652,1.13389,0.78107,1.00942,0.000665145,0.000665145,0.000665145
2,87.9411,1.31643,0.80206,1.11266,0.97628,0.98317,0.99089,0.60955,1.23854,0.63786,1.04391,0.00130544,0.00130544,0.00130544
3,134.703,1.29135,0.70295,1.10958,0.97296,0.97842,0.98816,0.59296,1.32881,0.6269,1.08236,0.00191934,0.00191934,0.00191934
4,173.367,1.26612,0.66729,1.10109,0.97174,0.98015,0.99109,0.68457,1.10524,0.54405,1.00768,0.0018812,0.0018812,0.0018812
5,211.681,1.23318,0.62484,1.09033,0.9838,0.9918,0.99192,0.63802,1.23594,0.56483,1.03563,0.0018416,0.0018416,0.0018416
6,250.158,1.211,0.61094,1.07775,0.98252,0.98921,0.99151,0.69406,1.05756,0.53541,0.99641,0.001802,0.001802,0.001802
7,288.675,1.18208,0.58557,1.07047,0.9837,0.99004,0.99362,0.72922,1.02194,0.49163,0.9784,0.0017624,0.0017624,0.0017624
8,327.054,1.17152,0.57159,1.06191,0.98798,0.99568,0.99345,0.71695,1.03111,0.47834,0.97688,0.0017228,0.0017228,0.0017228
9,365.512,1.15159,0.55494,1.05297,0.98757,0.99465,0.99413,0.73913,0.98111,0.46147,0.95928,0.0016832,0.0016832,0.0016832
10,403.951,1.12692,0.54541,1.04497,0.98337,0.9905,0.99342,0.71192,1.0671,0.4821,0.98256,0.0016436,0.0016436,0.0016436
11,442.273,1.11014,0.54248,1.03774,0.99025,0.99439,0.99399,0.75727,0.94272,0.44658,0.94863,0.001604,0.001604,0.001604
12,480.928,1.09709,0.52805,1.03022,0.98343,0.99094,0.99396,0.75105,0.94761,0.45734,0.96017,0.0015644,0.0015644,0.0015644
13,519.515,1.09378,0.52542,1.03121,0.99053,0.99301,0.99395,0.75695,0.96785,0.44477,0.95814,0.0015248,0.0015248,0.0015248
14,558.288,1.08722,0.51611,1.02723,0.98714,0.99396,0.99398,0.74864,0.96555,0.44903,0.95159,0.0014852,0.0014852,0.0014852
15,596.916,1.0822,0.50966,1.02443,0.99055,0.99527,0.9941,0.76541,0.91161,0.4206,0.94663,0.0014456,0.0014456,0.0014456
16,635.4,1.07203,0.50679,1.01775,0.98863,0.99396,0.99372,0.75953,0.95274,0.43473,0.95146,0.001406,0.001406,0.001406
17,674.017,1.07077,0.50155,1.02092,0.99013,0.99618,0.99397,0.7746,0.89007,0.41537,0.93931,0.0013664,0.0013664,0.0013664
18,712.599,1.06063,0.49949,1.01793,0.99056,0.99613,0.99351,0.74798,0.97901,0.42377,0.95239,0.0013268,0.0013268,0.0013268
19,751.167,1.05196,0.49335,1.01328,0.98748,0.99439,0.99407,0.75872,0.92838,0.42566,0.94688,0.0012872,0.0012872,0.0012872
20,789.763,1.04216,0.48778,1.01177,0.99397,0.99556,0.99388,0.75715,0.93579,0.41022,0.94023,0.0012476,0.0012476,0.0012476
21,828.347,1.04219,0.47995,1.00878,0.99262,0.99568,0.99407,0.76886,0.92528,0.4011,0.94053,0.001208,0.001208,0.001208
22,866.895,1.03956,0.47932,1.00942,0.99029,0.99655,0.99422,0.77498,0.87829,0.4023,0.93832,0.0011684,0.0011684,0.0011684
23,905.697,1.03295,0.47621,1.00911,0.99066,0.99396,0.9942,0.7799,0.89472,0.40365,0.93598,0.0011288,0.0011288,0.0011288
24,944.356,1.02047,0.47262,0.99861,0.99227,0.99741,0.99425,0.77396,0.90805,0.39475,0.93267,0.0010892,0.0010892,0.0010892
25,982.968,1.03366,0.47121,1.00508,0.99141,0.99654,0.99381,0.77541,0.90826,0.39766,0.93664,0.0010496,0.0010496,0.0010496
26,1022.59,1.01449,0.46252,0.99704,0.99207,0.99698,0.9943,0.78646,0.86904,0.38976,0.92983,0.00101,0.00101,0.00101
27,1064.71,1.01298,0.45739,0.99941,0.99142,0.99759,0.99416,0.77677,0.90368,0.38449,0.93522,0.0009704,0.0009704,0.0009704
28,1105.2,1.01248,0.45901,1.00011,0.99142,0.99827,0.9943,0.78812,0.86776,0.38106,0.93222,0.0009308,0.0009308,0.0009308
29,1145.8,1.0048,0.45419,0.99761,0.99227,0.99655,0.99434,0.77748,0.90238,0.3888,0.93312,0.0008912,0.0008912,0.0008912
30,1186.26,1.00458,0.45256,0.99352,0.99142,0.99798,0.99409,0.78205,0.87608,0.38025,0.92854,0.0008516,0.0008516,0.0008516
31,1226.9,0.99534,0.44629,0.99321,0.99355,0.99746,0.99419,0.78602,0.87365,0.37112,0.92824,0.000812,0.000812,0.000812
32,1267.52,0.99586,0.44753,0.99173,0.99168,0.99741,0.99404,0.77685,0.90984,0.3809,0.93209,0.0007724,0.0007724,0.0007724
33,1308.31,0.99479,0.44505,0.98957,0.9927,0.99742,0.9943,0.78565,0.87016,0.36872,0.92542,0.0007328,0.0007328,0.0007328
34,1348.97,0.99313,0.44257,0.99126,0.98984,0.99655,0.99413,0.78939,0.86512,0.36853,0.92827,0.0006932,0.0006932,0.0006932
35,1389.5,0.98362,0.43754,0.98919,0.99142,0.99773,0.99411,0.78818,0.86908,0.36296,0.92493,0.0006536,0.0006536,0.0006536
