epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.1206,1.46451,1.47452,1.16644,0.9663,0.9776,0.98909,0.66388,1.09608,0.74784,1.0139,0.000665145,0.000665145,0.000665145
2,102.85,1.36259,0.83329,1.13866,0.97014,0.97972,0.99114,0.65812,1.14555,0.64282,1.03028,0.00130544,0.00130544,0.00130544
3,150.119,1.3297,0.73675,1.12617,0.97854,0.98415,0.99317,0.68583,1.10132,0.56798,1.01254,0.00191934,0.00191934,0.00191934
4,194.875,1.30539,0.68917,1.11868,0.98586,0.99309,0.99379,0.6656,1.19535,0.55842,1.01778,0.0018812,0.0018812,0.0018812
5,239.762,1.26814,0.65443,1.10309,0.98796,0.9918,0.99322,0.70297,1.06695,0.52291,0.99835,0.0018416,0.0018416,0.0018416
6,286.916,1.24654,0.62885,1.09039,0.98453,0.9887,0.99327,0.68952,1.08724,0.51806,1.00323,0.001802,0.001802,0.001802
7,334.127,1.22171,0.6093,1.08195,0.97472,0.99007,0.99261,0.69605,1.05773,0.53214,0.98689,0.0017624,0.0017624,0.0017624
8,381.193,1.20434,0.59135,1.0744,0.98375,0.99223,0.99332,0.72426,1.01268,0.49202,0.98101,0.0017228,0.0017228,0.0017228
9,428.095,1.18626,0.57501,1.06578,0.98514,0.99525,0.99373,0.74098,0.97342,0.48074,0.97081,0.0016832,0.0016832,0.0016832
10,474.551,1.17393,0.57209,1.05884,0.98726,0.99309,0.99397,0.72836,1.0197,0.47511,0.97404,0.0016436,0.0016436,0.0016436
11,519.989,1.15711,0.56262,1.05081,0.98929,0.99353,0.99377,0.73756,1.03751,0.46708,0.97076,0.001604,0.001604,0.001604
12,566.048,1.14977,0.54893,1.04995,0.99268,0.99477,0.99405,0.75959,0.96324,0.43693,0.95376,0.0015644,0.0015644,0.0015644
13,611.994,1.13888,0.5451,1.04853,0.98596,0.9918,0.99421,0.75582,0.93693,0.46081,0.96132,0.0015248,0.0015248,0.0015248
14,657.596,1.11639,0.53466,1.03728,0.99012,0.99524,0.99426,0.74239,0.97782,0.44695,0.95967,0.0014852,0.0014852,0.0014852
15,703.172,1.11313,0.52956,1.04009,0.98548,0.99309,0.99405,0.75681,0.93899,0.44679,0.9555,0.0014456,0.0014456,0.0014456
16,748.578,1.10059,0.52739,1.02965,0.9859,0.99586,0.99415,0.76906,0.91379,0.4303,0.95016,0.001406,0.001406,0.001406
17,794.348,1.09964,0.52163,1.03417,0.99147,0.99482,0.9943,0.7529,0.97012,0.43459,0.95095,0.0013664,0.0013664,0.0013664
18,839.586,1.09479,0.51687,1.02916,0.99141,0.99665,0.99396,0.74688,0.99,0.43859,0.95807,0.0013268,0.0013268,0.0013268
19,885.038,1.08039,0.51286,1.02692,0.9908,0.99568,0.99379,0.76136,0.94795,0.43495,0.94705,0.0012872,0.0012872,0.0012872
20,930.149,1.07541,0.50912,1.02205,0.99184,0.99627,0.99414,0.7628,0.94409,0.42292,0.94724,0.0012476,0.0012476,0.0012476
21,975.621,1.06375,0.49378,1.01772,0.99028,0.99482,0.99392,0.77769,0.89642,0.41404,0.93936,0.001208,0.001208,0.001208
22,1021.42,1.05681,0.49792,1.01559,0.9936,0.99741,0.99412,0.77345,0.91547,0.40439,0.93288,0.0011684,0.0011684,0.0011684
23,1066.63,1.05667,0.48938,1.01179,0.98972,0.99612,0.99413,0.77715,0.8877,0.40648,0.93682,0.0011288,0.0011288,0.0011288
24,1111.9,1.04987,0.49019,1.00926,0.99248,0.99741,0.9942,0.76741,0.93234,0.40517,0.94385,0.0010892,0.0010892,0.0010892
